notif_no,substance_detected
NOT220709457K,Nan
NOT220709824K,Nan
NOT220709834K,Nan
NOT200707298K,Nan
NOT220709607K,Nan
NOT220709658K,Nan
NOT220709954K,Nan
NOT220708582K,Nan
NOT220709452K,Nan
NOT220709497K,Nan
NOT220709383K,Nan
NOT200707307K,Nan
NOT200707332K,Nan
NOT220709074K,Nan
NOT200707119K,Nan
NOT220709843K,Nan
NOT220708703K,Nan
NOT220708702K,Nan
NOT220709467K,Nan
NOT220708673K,Nan
NOT220708672K,Nan
NOT220708671K,Nan
NOT220709935K,Nan
NOT220708670K,Nan
NOT220708669K,Nan
NOT220708668K,Nan
NOT200707139K,Nan
NOT220709138K,Nan
NOT200707296K,Nan
NOT220708667K,Nan
NOT220709126K,Nan
NOT220709483K,Nan
NOT220708664K,Nan
NOT220708662K,Nan
NOT220709856K,Nan
NOT220708660K,Nan
NOT220709742K,Nan
NOT220709589K,Nan
NOT220708658K,Nan
NOT220709853K,Nan
NOT220708572K,Nan
NOT220708674K,Nan
NOT220708676K,Nan
NOT220708701K,Nan
NOT220709531K,Nan
NOT220709789K,Nan
NOT220709800K,Nan
NOT220708700K,Nan
NOT220708692K,Nan
NOT220708546K,Nan
NOT220708690K,Nan
NOT220709339K,Nan
NOT220708686K,Nan
NOT220709191K,Nan
NOT220708567K,Nan
NOT220709506K,Nan
NOT220708684K,Nan
NOT220708683K,Nan
NOT220708682K,Nan
NOT220708681K,Nan
NOT220708680K,Nan
NOT220708679K,Nan
NOT220709931K,Nan
NOT220708678K,Nan
NOT220708657K,Nan
NOT220709880K,Nan
NOT220708637K,Nan
NOT220709878K,Nan
NOT220709725K,Nan
NOT220709797K,Nan
NOT200707048K,Nan
NOT220709873K,Nan
NOT220708773K,Nan
NOT220709532K,Nan
NOT220709314K,Nan
NOT220709459K,Nan
NOT220709783K,Nan
NOT200707097K,Nan
NOT220709587K,Nan
NOT220709874K,Nan
NOT220708774K,Nan
NOT220708571K,Nan
NOT220709890K,Nan
NOT220708906K,Nan
NOT220709875K,Nan
NOT220709825K,Nan
NOT220709872K,Nan
NOT220709710K,Nan
NOT220709423K,Nan
NOT220708786K,Nan
NOT220709318K,Nan
NOT220708789K,Nan
NOT220709402K,Nan
NOT220708699K,Nan
NOT220708628K,Nan
NOT220708770K,Nan
NOT220709724K,Nan
NOT220708940K,Nan
NOT220709784K,Nan
NOT220709898K,Nan
NOT220709799K,Nan
NOT220709803K,Nan
NOT220709652K,Nan
NOT220709831K,Nan
NOT220709795K,Nan
NOT220709771K,Nan
NOT220709806K,Nan
NOT220708749K,Nan
NOT200707158K,Nan
NOT220709830K,Nan
NOT220709775K,Nan
NOT220709463K,Nan
NOT220709887K,Nan
NOT220709867K,Nan
NOT220709950K,Nan
NOT220708550K,Nan
NOT220709816K,Nan
NOT200707159K,Nan
NOT220709952K,Nan
NOT220709961K,Nan
NOT220709949K,Nan
NOT220709959K,Nan
NOT220709958K,Nan
NOT220709964K,Nan
NOT220709963K,Nan
NOT220709871K,Nan
NOT220709957K,Nan
NOT220709891K,Nan
NOT220709932K,Nan
NOT220709870K,Nan
NOT220709956K,Nan
NOT220709869K,Nan
NOT220709969K,Nan
NOT220708990K,Nan
NOT220709280K,Nan
NOT220709373K,Nan
NOT220709255K,Nan
NOT220709840K,Nan
NOT220709268K,Nan
NOT220709641K,Nan
NOT220708960K,Nan
NOT220709968K,Nan
NOT220708979K,Nan
NOT220709739K,Nan
NOT220709320K,Nan
NOT220708782K,Nan
NOT220709859K,Nan
NOT220709868K,Nan
NOT220709965K,Nan
NOT200707090K,Nan
NOT220709860K,Nan
NOT220709756K,Nan
NOT220709730K,Nan
NOT220709399K,Nan
NOT220709471K,Nan
NOT220708716K,Nan
NOT200707041K,Nan
NOT220708632K,Nan
NOT220708631K,Nan
NOT220708630K,Nan
NOT220708629K,Nan
NOT220708623K,Nan
NOT200707359K,Nan
NOT220709468K,Nan
NOT200707358K,Nan
NOT220708621K,Nan
NOT220708620K,Nan
NOT220708796K,Nan
NOT220708787K,Nan
NOT220708717K,Nan
NOT220709972K,Nan
NOT220708698K,Nan
NOT220708715K,Nan
NOT220708548K,Nan
NOT200707150K,Nan
NOT220708633K,Nan
NOT220708618K,Nan
NOT220708619K,Nan
NOT220709886K,Nan
NOT200707361K,Nan
NOT220708617K,Nan
NOT220709877K,Nan
NOT220709876K,Nan
NOT200707136K,Nan
NOT220709866K,Nan
NOT220708624K,Nan
NOT200707157K,Nan
NOT220709927K,Nan
NOT220709986K,Nan
NOT200707312K,Nan
NOT200707040K,Nan
NOT200707236K,Nan
NOT220708557K,Nan
NOT220709677K,Nan
NOT200707360K,Nan
NOT220709720K,Nan
NOT220709955K,Nan
NOT220708718K,Nan
NOT220708579K,Nan
NOT220708587K,Nan
NOT220709854K,Nan
NOT220708747K,Nan
NOT220708751K,Nan
NOT200707357K,Nan
NOT220708588K,Nan
NOT220708589K,Nan
NOT220708590K,Nan
NOT220708754K,Nan
NOT220708591K,Nan
NOT220708695K,Nan
NOT220708627K,Nan
NOT220708696K,Nan
NOT220708755K,Nan
NOT220709404K,Nan
NOT220708697K,Nan
NOT220709973K,Nan
NOT220708592K,Nan
NOT220708593K,Nan
NOT220708693K,Nan
NOT200707232K,Nan
NOT220709848K,Nan
NOT220709258K,Nan
NOT220708573K,Nan
NOT220708784K,Nan
NOT220709448K,Nan
NOT220709017K,Nan
NOT220709855K,Nan
NOT220708720K,Nan
NOT220709829K,Nan
NOT220709833K,Nan
NOT220708694K,Nan
NOT220708725K,Nan
NOT220709702K,Nan
NOT220709235K,Nan
NOT220709736K,Nan
NOT220710373K,Nan
NOT220710027K,Nan
NOT220710044K,Nan
NOT220710260K,Nan
NOT220710052K,Nan
NOT220710226K,Nan
NOT200707722K,Nan
NOT220710026K,Nan
NOT220710288K,Nan
NOT220710020K,Nan
NOT220710018K,Nan
NOT220710277K,Nan
NOT220710045K,Nan
NOT220710426K,Nan
NOT220710427K,Nan
